"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPP","TOT","NATUSD","A","2000",0.907445,
"AUT","PPP","TOT","NATUSD","A","2001",0.922991,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.888123,
"AUT","PPP","TOT","NATUSD","A","2004",0.878073,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.86008,
"AUT","PPP","TOT","NATUSD","A","2007",0.868069,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.843723,
"AUT","PPP","TOT","NATUSD","A","2010",0.842233,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.798813,
"AUT","PPP","TOT","NATUSD","A","2016",0.776931,
"AUT","PPP","TOT","NATUSD","A","2017",0.775009,
"AUT","PPP","TOT","NATUSD","A","2018",0.765403,
"AUT","PPP","TOT","NATUSD","A","2019",0.749138,
"AUT","PPP","TOT","NATUSD","A","2020",0.746311,
"AUT","PPP","TOT","NATUSD","A","2021",0.756308,
"AUT","PPP","TOT","NATUSD","A","2022",0.71893,
"BEL","PPP","TOT","NATUSD","A","2000",0.89994,
"BEL","PPP","TOT","NATUSD","A","2001",0.892458,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.876068,
"BEL","PPP","TOT","NATUSD","A","2004",0.888321,
"BEL","PPP","TOT","NATUSD","A","2005",0.891788,
"BEL","PPP","TOT","NATUSD","A","2006",0.874325,
"BEL","PPP","TOT","NATUSD","A","2007",0.878862,
"BEL","PPP","TOT","NATUSD","A","2008",0.86694,
"BEL","PPP","TOT","NATUSD","A","2009",0.850101,
"BEL","PPP","TOT","NATUSD","A","2010",0.836615,
"BEL","PPP","TOT","NATUSD","A","2011",0.831911,
"BEL","PPP","TOT","NATUSD","A","2012",0.822137,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.799998,
"BEL","PPP","TOT","NATUSD","A","2016",0.781011,
"BEL","PPP","TOT","NATUSD","A","2017",0.775634,
"BEL","PPP","TOT","NATUSD","A","2018",0.766407,
"BEL","PPP","TOT","NATUSD","A","2019",0.746601,
"BEL","PPP","TOT","NATUSD","A","2020",0.730278,
"BEL","PPP","TOT","NATUSD","A","2021",0.736686,
"BEL","PPP","TOT","NATUSD","A","2022",0.713938,
"FIN","PPP","TOT","NATUSD","A","2000",0.983933,
"FIN","PPP","TOT","NATUSD","A","2001",1.002746,
"FIN","PPP","TOT","NATUSD","A","2002",0.998133,
"FIN","PPP","TOT","NATUSD","A","2003",1.001951,
"FIN","PPP","TOT","NATUSD","A","2004",0.973205,
"FIN","PPP","TOT","NATUSD","A","2005",0.979424,
"FIN","PPP","TOT","NATUSD","A","2006",0.952925,
"FIN","PPP","TOT","NATUSD","A","2007",0.934698,
"FIN","PPP","TOT","NATUSD","A","2008",0.912125,
"FIN","PPP","TOT","NATUSD","A","2009",0.896493,
"FIN","PPP","TOT","NATUSD","A","2010",0.900522,
"FIN","PPP","TOT","NATUSD","A","2011",0.898068,
"FIN","PPP","TOT","NATUSD","A","2012",0.908495,
"FIN","PPP","TOT","NATUSD","A","2013",0.905357,
"FIN","PPP","TOT","NATUSD","A","2014",0.90721,
"FIN","PPP","TOT","NATUSD","A","2015",0.907748,
"FIN","PPP","TOT","NATUSD","A","2016",0.880895,
"FIN","PPP","TOT","NATUSD","A","2017",0.863657,
"FIN","PPP","TOT","NATUSD","A","2018",0.853746,
"FIN","PPP","TOT","NATUSD","A","2019",0.838421,
"FIN","PPP","TOT","NATUSD","A","2020",0.823022,
"FIN","PPP","TOT","NATUSD","A","2021",0.82669,
"FIN","PPP","TOT","NATUSD","A","2022",0.80248,
"FRA","PPP","TOT","NATUSD","A","2000",0.93019,
"FRA","PPP","TOT","NATUSD","A","2001",0.911773,
"FRA","PPP","TOT","NATUSD","A","2002",0.900678,
"FRA","PPP","TOT","NATUSD","A","2003",0.929847,
"FRA","PPP","TOT","NATUSD","A","2004",0.935121,
"FRA","PPP","TOT","NATUSD","A","2005",0.916458,
"FRA","PPP","TOT","NATUSD","A","2006",0.894745,
"FRA","PPP","TOT","NATUSD","A","2007",0.888659,
"FRA","PPP","TOT","NATUSD","A","2008",0.881874,
"FRA","PPP","TOT","NATUSD","A","2009",0.862957,
"FRA","PPP","TOT","NATUSD","A","2010",0.854675,
"FRA","PPP","TOT","NATUSD","A","2011",0.841361,
"FRA","PPP","TOT","NATUSD","A","2012",0.844301,
"FRA","PPP","TOT","NATUSD","A","2013",0.811643,
"FRA","PPP","TOT","NATUSD","A","2014",0.807565,
"FRA","PPP","TOT","NATUSD","A","2015",0.808694,
"FRA","PPP","TOT","NATUSD","A","2016",0.780044,
"FRA","PPP","TOT","NATUSD","A","2017",0.770109,
"FRA","PPP","TOT","NATUSD","A","2018",0.756166,
"FRA","PPP","TOT","NATUSD","A","2019",0.716286,
"FRA","PPP","TOT","NATUSD","A","2020",0.71036,
"FRA","PPP","TOT","NATUSD","A","2021",0.718667,
"FRA","PPP","TOT","NATUSD","A","2022",0.692756,
"DEU","PPP","TOT","NATUSD","A","2000",0.943029,
"DEU","PPP","TOT","NATUSD","A","2001",0.929789,
"DEU","PPP","TOT","NATUSD","A","2002",0.913257,
"DEU","PPP","TOT","NATUSD","A","2003",0.895891,
"DEU","PPP","TOT","NATUSD","A","2004",0.875058,
"DEU","PPP","TOT","NATUSD","A","2005",0.872721,
"DEU","PPP","TOT","NATUSD","A","2006",0.847629,
"DEU","PPP","TOT","NATUSD","A","2007",0.837197,
"DEU","PPP","TOT","NATUSD","A","2008",0.820401,
"DEU","PPP","TOT","NATUSD","A","2009",0.811098,
"DEU","PPP","TOT","NATUSD","A","2010",0.805081,
"DEU","PPP","TOT","NATUSD","A","2011",0.788739,
