Aluminum - Monthly Price (Euro per Metric Ton),,
Month,Price,Change
Nov-03,"1,289.28",-
Dec-03,"1,265.87",-1.82%
Jan-04,"1,273.77",0.62%
Feb-04,"1,333.03",4.65%
Mar-04,"1,350.62",1.32%
Apr-04,"1,443.40",6.87%
May-04,"1,353.09",-6.26%
Jun-04,"1,381.78",2.12%
Jul-04,"1,393.66",0.86%
Aug-04,"1,389.91",-0.27%
Sep-04,"1,410.80",1.50%
Oct-04,"1,457.17",3.29%
Nov-04,"1,396.45",-4.17%
Dec-04,"1,379.32",-1.23%
Jan-05,"1,398.41",1.38%
Feb-05,"1,446.96",3.47%
Mar-05,"1,500.03",3.67%
Apr-05,"1,464.19",-2.39%
May-05,"1,373.89",-6.17%
Jun-05,"1,423.26",3.59%
Jul-05,"1,477.83",3.83%
Aug-05,"1,519.57",2.82%
Sep-05,"1,501.46",-1.19%
Oct-05,"1,605.36",6.92%
Nov-05,"1,740.04",8.39%
Dec-05,"1,895.70",8.95%
Jan-06,"1,964.83",3.65%
Feb-06,"2,056.74",4.68%
Mar-06,"2,021.01",-1.74%
Apr-06,"2,136.25",5.70%
May-06,"2,240.95",4.90%
Jun-06,"1,958.54",-12.60%
Jul-06,"1,981.16",1.15%
Aug-06,"1,920.15",-3.08%
Sep-06,"1,942.99",1.19%
Oct-06,"2,105.04",8.34%
Nov-06,"2,098.50",-0.31%
Dec-06,"2,129.53",1.48%
Jan-07,"2,161.38",1.50%
Feb-07,"2,166.35",0.23%
Mar-07,"2,085.70",-3.72%
Apr-07,"2,082.65",-0.15%
May-07,"2,067.01",-0.75%
Jun-07,"1,995.00",-3.48%
Jul-07,"1,992.28",-0.14%
Aug-07,"1,846.90",-7.30%
Sep-07,"1,721.09",-6.81%
Oct-07,"1,716.75",-0.25%
Nov-07,"1,707.39",-0.55%
Dec-07,"1,634.76",-4.25%
Jan-08,"1,661.68",1.65%
Feb-08,"1,883.17",13.33%
Mar-08,"1,935.94",2.80%
Apr-08,"1,878.97",-2.94%
May-08,"1,866.11",-0.68%
Jun-08,"1,901.94",1.92%
Jul-08,"1,947.64",2.40%
Aug-08,"1,846.78",-5.18%
Sep-08,"1,758.20",-4.80%
Oct-08,"1,594.50",-9.31%
Nov-08,"1,455.06",-8.74%
Dec-08,"1,110.67",-23.67%
Jan-09,"1,067.93",-3.85%
Feb-09,"1,040.54",-2.56%
Mar-09,"1,024.54",-1.54%
Apr-09,"1,077.34",5.15%
May-09,"1,070.23",-0.66%
Jun-09,"1,122.86",4.92%
Jul-09,"1,184.06",5.45%
Aug-09,"1,355.37",14.47%
Sep-09,"1,259.72",-7.06%
Oct-09,"1,268.01",0.66%
Nov-09,"1,307.04",3.08%
Dec-09,"1,492.37",14.18%
Jan-10,"1,566.35",4.96%
Feb-10,"1,497.29",-4.41%
Mar-10,"1,625.68",8.58%
Apr-10,"1,728.29",6.31%
May-10,"1,623.12",-6.09%
Jun-10,"1,582.18",-2.52%
Jul-10,"1,557.48",-1.56%
Aug-10,"1,643.16",5.50%
Sep-10,"1,654.57",0.69%
Oct-10,"1,688.78",2.07%
Nov-10,"1,699.06",0.61%
Dec-10,"1,778.32",4.67%
Jan-11,"1,826.45",2.71%
Feb-11,"1,837.89",0.63%
Mar-11,"1,825.63",-0.67%
Apr-11,"1,854.75",1.59%
May-11,"1,809.66",-2.43%
Jun-11,"1,777.85",-1.76%
Jul-11,"1,772.11",-0.32%
Aug-11,"1,658.96",-6.39%
Sep-11,"1,668.12",0.55%
Oct-11,"1,590.92",-4.63%
Nov-11,"1,531.69",-3.72%
Dec-11,"1,534.77",0.20%
Jan-12,"1,660.43",8.19%
Feb-12,"1,670.04",0.58%
Mar-12,"1,654.62",-0.92%
Apr-12,"1,557.34",-5.88%
May-12,"1,569.00",0.75%
Jun-12,"1,509.05",-3.82%
Jul-12,"1,528.61",1.30%
Aug-12,"1,488.33",-2.63%
Sep-12,"1,603.95",7.77%
Oct-12,"1,521.67",-5.13%
Nov-12,"1,520.20",-0.10%
Dec-12,"1,591.94",4.72%
Jan-13,"1,533.93",-3.64%
Feb-13,"1,537.42",0.23%
Mar-13,"1,473.08",-4.18%
Apr-13,"1,429.27",-2.97%
May-13,"1,411.06",-1.27%
Jun-13,"1,375.94",-2.49%
Jul-13,"1,352.61",-1.70%
Aug-13,"1,365.68",0.97%
Sep-13,"1,318.99",-3.42%
Oct-13,"1,330.58",0.88%
Nov-13,"1,296.59",-2.55%
Dec-13,"1,270.07",-2.05%
Jan-14,"1,269.02",-0.08%
Feb-14,"1,241.36",-2.18%
Mar-14,"1,233.79",-0.61%
Apr-14,"1,310.91",6.25%
May-14,"1,274.78",-2.76%
Jun-14,"1,352.94",6.13%
Jul-14,"1,438.80",6.35%
Aug-14,"1,524.90",5.98%
Sep-14,"1,544.28",1.27%
Oct-14,"1,535.82",-0.55%
Nov-14,"1,648.26",7.32%
Dec-14,"1,548.58",-6.05%
Jan-15,"1,565.06",1.06%
