Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2023-01-01T00:00+01:00,2453.98,9146.7,38385.16,-5.17
2023-01-01T01:00+01:00,2453.41,8925.67,39415.74,-1.07
2023-01-01T02:00+01:00,2454.45,8902.45,39610.87,-1.47
2023-01-01T03:00+01:00,2455.28,8901.06,37023.96,-5.08
2023-01-01T04:00+01:00,2455.61,8863.2,36499.99,-4.49
2023-01-01T05:00+01:00,2459.81,8800.74,36722.38,-5.4
2023-01-01T06:00+01:00,2459.25,8845.96,36516.6,-5.02
2023-01-01T07:00+01:00,2459.01,8864.84,37345.32,-1.3
2023-01-01T08:00+01:00,2457.52,8829.9,36826.57,-1.44
2023-01-01T09:00+01:00,2460.92,8791.15,38899.45,-1.09
2023-01-01T10:00+01:00,2458.73,8763.25,41139.5,-1.07
2023-01-01T11:00+01:00,2456.74,8788.66,42315.58,-1.07
2023-01-01T12:00+01:00,2453.46,8791.68,41169.32,-0.79
2023-01-01T13:00+01:00,2450.73,9015.68,39247.36,-0.27
2023-01-01T14:00+01:00,2448.26,9085.57,39014.06,0.85
2023-01-01T15:00+01:00,2444.63,9121.96,37663.85,23.53
2023-01-01T16:00+01:00,2446.9,9792.64,34691.03,36.54
2023-01-01T17:00+01:00,2451.52,9584.96,33505.21,46.03
2023-01-01T18:00+01:00,2452.06,10084.18,32816.9,55.57
2023-01-01T19:00+01:00,2453.51,9989.57,32238.24,54.95
2023-01-01T20:00+01:00,2456.77,9804.17,32138.55,49.23
2023-01-01T21:00+01:00,2456.35,9547.51,32433.1,44.99
2023-01-01T22:00+01:00,2456.5,9577.39,30512.03,45.96
2023-01-01T23:00+01:00,2455.37,9625.31,29751.14,35
2023-01-02T00:00+01:00,2457.7,9920.19,28237.55,57.91
2023-01-02T01:00+01:00,2456.09,9895.19,27536.52,51.67
2023-01-02T02:00+01:00,2455.87,9974.34,28812.75,52.93
2023-01-02T03:00+01:00,2454.91,10025.47,30103.91,44.09
2023-01-02T04:00+01:00,2454.2,10878.34,32000.03,50.08
2023-01-02T05:00+01:00,2454.29,11744.35,33313,69.72
2023-01-02T06:00+01:00,2454.7,13953.3,35515.31,105.08
2023-01-02T07:00+01:00,2457.15,16478.49,37248.94,140.64
2023-01-02T08:00+01:00,2456.63,17380.04,39501.09,145.98
2023-01-02T09:00+01:00,2457.63,18808.27,42009.12,147.05
2023-01-02T10:00+01:00,2457.96,19956.65,43220.66,145.61
2023-01-02T11:00+01:00,2459.77,20426.62,44548.63,143.35
2023-01-02T12:00+01:00,2457.7,19937.57,44542.56,144.38
2023-01-02T13:00+01:00,2454.11,20423.25,43007.78,143.76
2023-01-02T14:00+01:00,2452.64,21164.91,40759.52,148.2
2023-01-02T15:00+01:00,2453.66,21498.07,37377.59,155.34
2023-01-02T16:00+01:00,2452.8,21725.09,36017.87,162.89
2023-01-02T17:00+01:00,2451.02,22168.74,36203.23,170
2023-01-02T18:00+01:00,2450.02,22252.2,36523.02,174.74
2023-01-02T19:00+01:00,2451.83,22472.06,36113.96,164.46
2023-01-02T20:00+01:00,2452.45,22228.01,35122.13,153
2023-01-02T21:00+01:00,2451.64,21694.9,33902.67,141.67
2023-01-02T22:00+01:00,2453.13,21556.29,32562.27,134.91
2023-01-02T23:00+01:00,2453.42,20997.62,31616.55,124.22
2023-01-03T00:00+01:00,2452.51,20337.09,30368.73,130.01
2023-01-03T01:00+01:00,2452.73,20244.13,29202.42,120
2023-01-03T02:00+01:00,2456.14,19667.95,27795.44,118.76
2023-01-03T03:00+01:00,2456.16,19835.02,26277.81,115
2023-01-03T04:00+01:00,2458.78,20378.85,24950.05,113.63
2023-01-03T05:00+01:00,2459.13,21491.39,23618.59,116.27
2023-01-03T06:00+01:00,2459.05,24463.03,22731.2,138.92
2023-01-03T07:00+01:00,2457.94,26432.87,22118.49,159.92
2023-01-03T08:00+01:00,2457.38,27629.81,21781.19,169.17
2023-01-03T09:00+01:00,2460.75,28036.69,23513.95,171.18
2023-01-03T10:00+01:00,2459.27,28154.47,26206.41,168.57
2023-01-03T11:00+01:00,2459.39,28083.95,28295.21,169.49
2023-01-03T12:00+01:00,2456.48,27913.31,28385.19,164.5
2023-01-03T13:00+01:00,2453.08,27861.25,26920.46,160.91
2023-01-03T14:00+01:00,2452.92,27953.04,24419.87,163.06
2023-01-03T15:00+01:00,2452.38,27945.03,21578.35,167.73
2023-01-03T16:00+01:00,2451.9,27963.63,20973.06,166.61
2023-01-03T17:00+01:00,2452.83,28336.07,23857.84,170.72
2023-01-03T18:00+01:00,2453.53,28025.83,26582.18,168.93
2023-01-03T19:00+01:00,2453.82,27356.03,29283.4,160.99
2023-01-03T20:00+01:00,2453.58,26260.79,32359.15,149.62
2023-01-03T21:00+01:00,2454.93,23707.29,34405.51,130.99
2023-01-03T22:00+01:00,2455.41,21292.32,35540.9,114.27
2023-01-03T23:00+01:00,2452.61,17862.08,37413.49,93.66
2023-01-04T00:00+01:00,2450.47,13997.34,39362.98,80.89
2023-01-04T01:00+01:00,2449.7,12878.84,41399.3,70.67
2023-01-04T02:00+01:00,2449.31,12925.95,41947.92,40
2023-01-04T03:00+01:00,2452.1,12663.65,40795.97,8.68
2023-01-04T04:00+01:00,2451.21,12530.07,41581.71,0.85
2023-01-04T05:00+01:00,2448.89,12847.83,45827.34,11.02
2023-01-04T06:00+01:00,2443.6,13370.57,52165.5,61.02
2023-01-04T07:00+01:00,2441.15,13974.8,54273.36,79.2
2023-01-04T08:00+01:00,2439.51,14666.11,55075.2,84.2
2023-01-04T09:00+01:00,2433.85,14909.11,56520.43,83.32
2023-01-04T10:00+01:00,2431.52,14726.13,57656.73,70.07
2023-01-04T11:00+01:00,2430.31,14499.21,57946.64,79.74
2023-01-04T12:00+01:00,2423.03,14106.73,58266.54,80.89
2023-01-04T13:00+01:00,2419.22,13740.25,58368.65,79.72
2023-01-04T14:00+01:00,2419.77,13503.16,57667.01,80.22
2023-01-04T15:00+01:00,2419.75,13454.23,56913.09,79.74
2023-01-04T16:00+01:00,2418.17,13792.97,56060.47,80.82
2023-01-04T17:00+01:00,2413.38,14590.44,56585.38,86.16
2023-01-04T18:00+01:00,2412.77,14733.35,56425.8,72.28
2023-01-04T19:00+01:00,2413.13,14689.51,56315.8,66.61
2023-01-04T20:00+01:00,2413.94,14423.46,55847.88,43.2
2023-01-04T21:00+01:00,2411.21,14232.5,55705.65,31.25
2023-01-04T22:00+01:00,2411.65,14111.58,54443.25,34.96
2023-01-04T23:00+01:00,2410.78,13859.66,53375.46,9.09
2023-01-05T00:00+01:00,2410.93,14362.51,48184.43,0.05
2023-01-05T01:00+01:00,2413.64,14523.45,46567.37,0.07
2023-01-05T02:00+01:00,2413.19,14339.68,46029.56,0.07
2023-01-05T03:00+01:00,2412.72,14410.05,45822.82,0.12
2023-01-05T04:00+01:00,2412.33,14813.9,47268.38,2.23
2023-01-05T05:00+01:00,2412.46,15244.29,49295.25,10.07
2023-01-05T06:00+01:00,2411.31,17130.42,49521.34,61.04
2023-01-05T07:00+01:00,2408.53,19333.24,49504.78,87.19
2023-01-05T08:00+01:00,2409.52,21070.48,48155.92,95.84
2023-01-05T09:00+01:00,2413.48,21638.87,46428.55,125.55
