"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2000",29.39,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2001",25.32,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2002",24.64,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2003",29.59,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2004",38.21,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2005",53.15,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2006",64.44,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2007",71.86,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2008",103.05,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2009",60.69,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2010",80,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2011",110.92,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2012",112.5,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2013",110.63,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2014",103.81,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2015",55.52,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2016",42.89,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2017",54.73,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2018",71.12,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2019",64.52,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2020",43.67,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2021",68.98,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2022",97.93,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2000",27.87,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2001",24.2,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2002",24.35,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2003",27.72,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2004",35.35,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2005",50.06,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2006",61.06,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2007",70.35,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2008",96.01,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2009",61.77,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2010",79.65,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2011",110.5,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2012",110.83,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2013",108.45,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2014",98.49,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2015",51.65,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2016",42.06,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2017",53.01,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2018",70.57,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2019",63.78,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2020",41.29,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2021",70.44,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2022",103.09,
"FIN","OILIMPPRICE","TOT","USD_BAR","A","2000",28.13,
