"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","LABCOMP","TOT","AGRWTH","A","2000",2.617126,
"AUT","LABCOMP","TOT","AGRWTH","A","2001",1.991982,
"AUT","LABCOMP","TOT","AGRWTH","A","2002",2.389616,
"AUT","LABCOMP","TOT","AGRWTH","A","2003",2.177083,
"AUT","LABCOMP","TOT","AGRWTH","A","2004",1.650115,
"AUT","LABCOMP","TOT","AGRWTH","A","2005",2.789058,
"AUT","LABCOMP","TOT","AGRWTH","A","2006",3.966906,
"AUT","LABCOMP","TOT","AGRWTH","A","2007",3.148747,
"AUT","LABCOMP","TOT","AGRWTH","A","2008",3.042324,
"AUT","LABCOMP","TOT","AGRWTH","A","2009",4.226997,
"AUT","LABCOMP","TOT","AGRWTH","A","2010",1.116817,
"AUT","LABCOMP","TOT","AGRWTH","A","2011",2.035219,
"AUT","LABCOMP","TOT","AGRWTH","A","2012",3.724269,
"AUT","LABCOMP","TOT","AGRWTH","A","2013",2.925548,
"AUT","LABCOMP","TOT","AGRWTH","A","2014",2.221137,
"AUT","LABCOMP","TOT","AGRWTH","A","2015",3.287842,
"AUT","LABCOMP","TOT","AGRWTH","A","2016",1.540303,
"AUT","LABCOMP","TOT","AGRWTH","A","2017",2.39441,
"AUT","LABCOMP","TOT","AGRWTH","A","2018",2.93653,
"AUT","LABCOMP","TOT","AGRWTH","A","2019",2.135293,
"AUT","LABCOMP","TOT","AGRWTH","A","2020",10.090152,
"AUT","LABCOMP","TOT","AGRWTH","A","2021",-0.762997,
"BEL","LABCOMP","TOT","AGRWTH","A","2000",1.132679,
"BEL","LABCOMP","TOT","AGRWTH","A","2001",3.996253,
"BEL","LABCOMP","TOT","AGRWTH","A","2002",3.707888,
"BEL","LABCOMP","TOT","AGRWTH","A","2003",1.414781,
"BEL","LABCOMP","TOT","AGRWTH","A","2004",2.113562,
"BEL","LABCOMP","TOT","AGRWTH","A","2005",2.375336,
"BEL","LABCOMP","TOT","AGRWTH","A","2006",3.01447,
"BEL","LABCOMP","TOT","AGRWTH","A","2007",3.401708,
"BEL","LABCOMP","TOT","AGRWTH","A","2008",4.300984,
"BEL","LABCOMP","TOT","AGRWTH","A","2009",2.989028,
"BEL","LABCOMP","TOT","AGRWTH","A","2010",1.303233,
"BEL","LABCOMP","TOT","AGRWTH","A","2011",2.34751,
"BEL","LABCOMP","TOT","AGRWTH","A","2012",3.337143,
"BEL","LABCOMP","TOT","AGRWTH","A","2013",2.693429,
"BEL","LABCOMP","TOT","AGRWTH","A","2014",1.131727,
"BEL","LABCOMP","TOT","AGRWTH","A","2015",0.348831,
"BEL","LABCOMP","TOT","AGRWTH","A","2016",0.2963,
"BEL","LABCOMP","TOT","AGRWTH","A","2017",1.515191,
"BEL","LABCOMP","TOT","AGRWTH","A","2018",1.559112,
"BEL","LABCOMP","TOT","AGRWTH","A","2019",2.133649,
"BEL","LABCOMP","TOT","AGRWTH","A","2020",4.994343,
"BEL","LABCOMP","TOT","AGRWTH","A","2021",0.388843,
"FIN","LABCOMP","TOT","AGRWTH","A","2000",4.361975,
"FIN","LABCOMP","TOT","AGRWTH","A","2001",4.303674,
"FIN","LABCOMP","TOT","AGRWTH","A","2002",2.001799,
