"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","ULC","EMP","PC_CHGPP","A","2010",-0.01746044,
"ITA","ULC","EMP","PC_CHGPP","A","2011",0.4920782,
"ITA","ULC","EMP","PC_CHGPP","A","2012",1.465941,
"ITA","ULC","EMP","PC_CHGPP","A","2013",0.913968,
"ITA","ULC","EMP","PC_CHGPP","A","2014",0.1889932,
"ITA","ULC","EMP","PC_CHGPP","A","2015",0.9243374,
"ITA","ULC","EMP","PC_CHGPP","A","2016",0.3224412,
"ITA","ULC","EMP","PC_CHGPP","A","2017",-0.05683861,
"ITA","ULC","EMP","PC_CHGPP","A","2018",2.004553,
"ITA","ULC","EMP","PC_CHGPP","A","2019",1.295919,
"ITA","ULC","EMP","PC_CHGPP","A","2020",3.11838,
"ITA","ULC","EMP","PC_CHGPP","A","2021",-0.9279515,
"ITA","ULC","EMP","PC_CHGPP","A","2022",2.658424,
"SVK","ULC","EMP","PC_CHGPP","A","2010",-1.979405,
"SVK","ULC","EMP","PC_CHGPP","A","2011",0.9415935,
"SVK","ULC","EMP","PC_CHGPP","A","2012",0.5944157,
"SVK","ULC","EMP","PC_CHGPP","A","2013",1.091526,
"SVK","ULC","EMP","PC_CHGPP","A","2014",0.7734619,
"SVK","ULC","EMP","PC_CHGPP","A","2015",0.9296677,
"SVK","ULC","EMP","PC_CHGPP","A","2016",2.473393,
"SVK","ULC","EMP","PC_CHGPP","A","2017",4.529414,
"SVK","ULC","EMP","PC_CHGPP","A","2018",4.01264,
"SVK","ULC","EMP","PC_CHGPP","A","2019",5.284179,
"NZL","ULC","EMP","PC_CHGPP","A","2010",0.8958095,
"NZL","ULC","EMP","PC_CHGPP","A","2011",4.048842,
"NZL","ULC","EMP","PC_CHGPP","A","2012",2.295952,
"NZL","ULC","EMP","PC_CHGPP","A","2013",1.528185,
"NZL","ULC","EMP","PC_CHGPP","A","2014",1.789088,
"NZL","ULC","EMP","PC_CHGPP","A","2015",0.3376001,
"NZL","ULC","EMP","PC_CHGPP","A","2016",5.374761,
"NZL","ULC","EMP","PC_CHGPP","A","2017",2.83549,
"NZL","ULC","EMP","PC_CHGPP","A","2018",2.149459,
"NZL","ULC","EMP","PC_CHGPP","A","2019",2.499123,
"NZL","ULC","EMP","PC_CHGPP","A","2020",5.74523,
"NZL","ULC","EMP","PC_CHGPP","A","2021",3.285934,
"NZL","ULC","EMP","PC_CHGPP","A","2022",6.727975,
"PRT","ULC","EMP","PC_CHGPP","A","2010",-1.125305,
"PRT","ULC","EMP","PC_CHGPP","A","2011",-2.122036,
"PRT","ULC","EMP","PC_CHGPP","A","2012",-3.096329,
"PRT","ULC","EMP","PC_CHGPP","A","2013",1.45474,
"PRT","ULC","EMP","PC_CHGPP","A","2014",-1.218285,
"PRT","ULC","EMP","PC_CHGPP","A","2015",-0.07165761,
"PRT","ULC","EMP","PC_CHGPP","A","2016",0.7971905,
"PRT","ULC","EMP","PC_CHGPP","A","2017",2.068979,
"PRT","ULC","EMP","PC_CHGPP","A","2018",3.361097,
"PRT","ULC","EMP","PC_CHGPP","A","2019",2.843642,
"PRT","ULC","EMP","PC_CHGPP","A","2020",9.021125,
"PRT","ULC","EMP","PC_CHGPP","A","2021",1.09224,
"PRT","ULC","EMP","PC_CHGPP","A","2022",0.4370332,
"AUS","ULC","EMP","PC_CHGPP","A","2010",5.08742,
"AUS","ULC","EMP","PC_CHGPP","A","2011",4.684613,
"AUS","ULC","EMP","PC_CHGPP","A","2012",0.6756698,
"AUS","ULC","EMP","PC_CHGPP","A","2013",0.4877056,
"AUS","ULC","EMP","PC_CHGPP","A","2014",0.8987835,
"AUS","ULC","EMP","PC_CHGPP","A","2015",0.6155831,
"AUS","ULC","EMP","PC_CHGPP","A","2016",0.04306251,
"AUS","ULC","EMP","PC_CHGPP","A","2017",0.9611199,
"AUS","ULC","EMP","PC_CHGPP","A","2018",1.990887,
"AUS","ULC","EMP","PC_CHGPP","A","2019",3.44241,
"AUS","ULC","EMP","PC_CHGPP","A","2020",4.397887,
"AUS","ULC","EMP","PC_CHGPP","A","2021",0.1268905,
"AUS","ULC","EMP","PC_CHGPP","A","2022",3.733668,
"GBR","ULC","EMP","PC_CHGPP","A","2010",0.7201367,
"GBR","ULC","EMP","PC_CHGPP","A","2011",1.230022,
"GBR","ULC","EMP","PC_CHGPP","A","2012",0.8744417,
"GBR","ULC","EMP","PC_CHGPP","A","2013",2.069019,
"GBR","ULC","EMP","PC_CHGPP","A","2014",0.1044386,
"GBR","ULC","EMP","PC_CHGPP","A","2015",0.7680298,
"GBR","ULC","EMP","PC_CHGPP","A","2016",2.601168,
"GBR","ULC","EMP","PC_CHGPP","A","2017",1.147541,
"GBR","ULC","EMP","PC_CHGPP","A","2018",2.528445,
"GBR","ULC","EMP","PC_CHGPP","A","2019",3.231273,
"GBR","ULC","EMP","PC_CHGPP","A","2020",11.58537,
"GBR","ULC","EMP","PC_CHGPP","A","2021",-4.53085,
"GBR","ULC","EMP","PC_CHGPP","A","2022",2.685789,
"GRC","ULC","EMP","PC_CHGPP","A","2010",3.939348,
"GRC","ULC","EMP","PC_CHGPP","A","2011",2.889264,
"GRC","ULC","EMP","PC_CHGPP","A","2012",-0.7407652,
