"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","STINT","TOT","PC_PA","A","2001",4.261783,
"FIN","STINT","TOT","PC_PA","A","2002",3.318592,
"FIN","STINT","TOT","PC_PA","A","2003",2.333467,
"FIN","STINT","TOT","PC_PA","A","2004",2.106325,
"FIN","STINT","TOT","PC_PA","A","2005",2.184675,
"FIN","STINT","TOT","PC_PA","A","2006",3.079225,
"FIN","STINT","TOT","PC_PA","A","2007",4.277608,
"FIN","STINT","TOT","PC_PA","A","2008",4.634233,
"FIN","STINT","TOT","PC_PA","A","2009",1.228358,
"FIN","STINT","TOT","PC_PA","A","2010",0.81095,
"FIN","STINT","TOT","PC_PA","A","2011",1.3906,
"FIN","STINT","TOT","PC_PA","A","2012",0.5731834,
"FIN","STINT","TOT","PC_PA","A","2013",0.2206667,
"FIN","STINT","TOT","PC_PA","A","2014",0.2099333,
"FIN","STINT","TOT","PC_PA","A","2015",-0.01936667,
"FIN","STINT","TOT","PC_PA","A","2016",-0.2636917,
"FIN","STINT","TOT","PC_PA","A","2017",-0.32905,
"FIN","STINT","TOT","PC_PA","A","2018",-0.3220917,
"FIN","STINT","TOT","PC_PA","A","2019",-0.3563333,
"FIN","STINT","TOT","PC_PA","A","2020",-0.42515,
"FIN","STINT","TOT","PC_PA","A","2021",-0.5487667,
"LUX","STINT","TOT","PC_PA","A","2001",4.261783,
"LUX","STINT","TOT","PC_PA","A","2002",3.318592,
"LUX","STINT","TOT","PC_PA","A","2003",2.333467,
"LUX","STINT","TOT","PC_PA","A","2004",2.106325,
"LUX","STINT","TOT","PC_PA","A","2005",2.184675,
"LUX","STINT","TOT","PC_PA","A","2006",3.079225,
"LUX","STINT","TOT","PC_PA","A","2007",4.277608,
"LUX","STINT","TOT","PC_PA","A","2008",4.634233,
"LUX","STINT","TOT","PC_PA","A","2009",1.228358,
"LUX","STINT","TOT","PC_PA","A","2010",0.81095,
"LUX","STINT","TOT","PC_PA","A","2011",1.3906,
"LUX","STINT","TOT","PC_PA","A","2012",0.5731834,
"LUX","STINT","TOT","PC_PA","A","2013",0.2206667,
"LUX","STINT","TOT","PC_PA","A","2014",0.2099333,
"LUX","STINT","TOT","PC_PA","A","2015",-0.01936667,
"LUX","STINT","TOT","PC_PA","A","2016",-0.2636917,
"LUX","STINT","TOT","PC_PA","A","2017",-0.32905,
"LUX","STINT","TOT","PC_PA","A","2018",-0.3220917,
"LUX","STINT","TOT","PC_PA","A","2019",-0.3563333,
"LUX","STINT","TOT","PC_PA","A","2020",-0.42515,
"LUX","STINT","TOT","PC_PA","A","2021",-0.5487667,
"FRA","STINT","TOT","PC_PA","A","2001",4.261783,
"FRA","STINT","TOT","PC_PA","A","2002",3.318592,
"FRA","STINT","TOT","PC_PA","A","2003",2.333467,
"FRA","STINT","TOT","PC_PA","A","2004",2.106325,
"FRA","STINT","TOT","PC_PA","A","2005",2.184675,
"FRA","STINT","TOT","PC_PA","A","2006",3.079225,
"FRA","STINT","TOT","PC_PA","A","2007",4.277608,
"FRA","STINT","TOT","PC_PA","A","2008",4.634233,
"FRA","STINT","TOT","PC_PA","A","2009",1.228358,
"FRA","STINT","TOT","PC_PA","A","2010",0.81095,
"FRA","STINT","TOT","PC_PA","A","2011",1.3906,
"FRA","STINT","TOT","PC_PA","A","2012",0.5731834,
"FRA","STINT","TOT","PC_PA","A","2013",0.2206667,
"FRA","STINT","TOT","PC_PA","A","2014",0.2099333,
"FRA","STINT","TOT","PC_PA","A","2015",-0.01936667,
"FRA","STINT","TOT","PC_PA","A","2016",-0.2636917,
"FRA","STINT","TOT","PC_PA","A","2017",-0.32905,
"FRA","STINT","TOT","PC_PA","A","2018",-0.3220917,
"FRA","STINT","TOT","PC_PA","A","2019",-0.3563333,
"FRA","STINT","TOT","PC_PA","A","2020",-0.42515,
"FRA","STINT","TOT","PC_PA","A","2021",-0.5487667,
"EST","STINT","TOT","PC_PA","A","2001",5.313334,
"EST","STINT","TOT","PC_PA","A","2002",3.88,
"EST","STINT","TOT","PC_PA","A","2003",2.9125,
"EST","STINT","TOT","PC_PA","A","2004",2.495833,
"EST","STINT","TOT","PC_PA","A","2005",2.378333,
"EST","STINT","TOT","PC_PA","A","2006",3.160833,
"EST","STINT","TOT","PC_PA","A","2007",4.87,
"EST","STINT","TOT","PC_PA","A","2008",6.664166,
"EST","STINT","TOT","PC_PA","A","2009",5.926667,
"EST","STINT","TOT","PC_PA","A","2010",1.57,
"EST","STINT","TOT","PC_PA","A","2011",1.3906,
"EST","STINT","TOT","PC_PA","A","2012",0.5731834,
"EST","STINT","TOT","PC_PA","A","2013",0.2206667,
"EST","STINT","TOT","PC_PA","A","2014",0.2099333,
"EST","STINT","TOT","PC_PA","A","2015",-0.01936667,
"EST","STINT","TOT","PC_PA","A","2016",-0.2636917,
"EST","STINT","TOT","PC_PA","A","2017",-0.32905,
"EST","STINT","TOT","PC_PA","A","2018",-0.3220917,
"EST","STINT","TOT","PC_PA","A","2019",-0.3563333,
"EST","STINT","TOT","PC_PA","A","2020",-0.42515,
"EST","STINT","TOT","PC_PA","A","2021",-0.5487667,
"BEL","STINT","TOT","PC_PA","A","2001",4.261783,
"BEL","STINT","TOT","PC_PA","A","2002",3.318592,
"BEL","STINT","TOT","PC_PA","A","2003",2.333467,
"BEL","STINT","TOT","PC_PA","A","2004",2.106325,
"BEL","STINT","TOT","PC_PA","A","2005",2.184675,
"BEL","STINT","TOT","PC_PA","A","2006",3.079225,
"BEL","STINT","TOT","PC_PA","A","2007",4.277608,
"BEL","STINT","TOT","PC_PA","A","2008",4.634233,
"BEL","STINT","TOT","PC_PA","A","2009",1.228358,
"BEL","STINT","TOT","PC_PA","A","2010",0.81095,
"BEL","STINT","TOT","PC_PA","A","2011",1.3906,
"BEL","STINT","TOT","PC_PA","A","2012",0.5731834,
"BEL","STINT","TOT","PC_PA","A","2013",0.2206667,
"BEL","STINT","TOT","PC_PA","A","2014",0.2099333,
"BEL","STINT","TOT","PC_PA","A","2015",-0.01936667,
"BEL","STINT","TOT","PC_PA","A","2016",-0.2636917,
"BEL","STINT","TOT","PC_PA","A","2017",-0.32905,
"BEL","STINT","TOT","PC_PA","A","2018",-0.3220917,
"BEL","STINT","TOT","PC_PA","A","2019",-0.3563333,
"BEL","STINT","TOT","PC_PA","A","2020",-0.42515,
"BEL","STINT","TOT","PC_PA","A","2021",-0.5487667,
"ESP","STINT","TOT","PC_PA","A","2001",4.261783,
"ESP","STINT","TOT","PC_PA","A","2002",3.318592,
"ESP","STINT","TOT","PC_PA","A","2003",2.333467,
"ESP","STINT","TOT","PC_PA","A","2004",2.106325,
"ESP","STINT","TOT","PC_PA","A","2005",2.184675,
"ESP","STINT","TOT","PC_PA","A","2006",3.079225,
"ESP","STINT","TOT","PC_PA","A","2007",4.277608,
"ESP","STINT","TOT","PC_PA","A","2008",4.634233,
"ESP","STINT","TOT","PC_PA","A","2009",1.228358,
"ESP","STINT","TOT","PC_PA","A","2010",0.81095,
"ESP","STINT","TOT","PC_PA","A","2011",1.3906,
"ESP","STINT","TOT","PC_PA","A","2012",0.5731834,
"ESP","STINT","TOT","PC_PA","A","2013",0.2206667,
"ESP","STINT","TOT","PC_PA","A","2014",0.2099333,
"ESP","STINT","TOT","PC_PA","A","2015",-0.01936667,
