Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,0.743920,0.777530,0.738660,0.771840,0.771840,0
2012-01-01,0.771550,1.314800,0.755630,0.761060,0.761060,0
2012-02-01,0.761100,0.770420,0.741500,0.741950,0.741950,0
2012-03-01,0.750400,0.768940,0.747194,0.749340,0.749340,0
2012-04-01,0.749340,0.769414,0.747440,0.755200,0.755200,0
2012-05-01,0.755290,0.810222,0.752960,0.808100,0.808100,0
2012-06-01,0.809000,0.813206,0.784440,0.789580,0.789580,0
2012-07-01,0.789580,0.829500,0.788580,0.815700,0.815700,0
2012-08-01,0.813400,0.823859,0.791828,0.799300,0.799300,0
2012-09-01,0.794790,0.799700,0.759411,0.778510,0.778510,0
2012-10-01,0.780840,0.780840,0.761162,0.771450,0.771450,0
2012-11-01,0.771300,0.789480,0.767542,0.770800,0.770800,0
2012-12-01,0.770000,0.776253,0.751490,0.755990,0.755990,0
2013-01-01,0.757500,0.769200,0.735835,0.737010,0.737010,0
2013-02-01,0.734700,0.768049,0.730300,0.760400,0.760400,0
2013-03-01,0.765600,0.783926,0.761365,0.780770,0.780770,0
2013-04-01,0.780910,0.784326,0.757742,0.763600,0.763600,0
2013-05-01,0.759360,0.781250,0.755200,0.766640,0.766640,0
2013-06-01,0.769290,0.771780,0.745523,0.768460,0.768460,0
2013-07-01,0.768410,0.783515,0.751868,0.753870,0.753870,0
2013-08-01,0.751820,0.758771,0.743483,0.756200,0.756200,0
2013-09-01,0.756200,0.762998,0.736920,0.740990,0.740990,0
2013-10-01,0.739370,0.742082,0.723066,0.728650,0.728650,0
2013-11-01,0.736390,0.751552,0.734100,0.735620,0.735620,0
2013-12-01,0.735620,0.739340,0.720279,0.724110,0.724110,0
2014-01-01,0.727540,0.741780,0.725740,0.737530,0.737530,0
2014-02-01,0.741300,0.741878,0.723411,0.729530,0.729530,0
2014-03-01,0.724430,0.729474,0.716055,0.727160,0.727160,0
2014-04-01,0.725950,0.731192,0.719110,0.723920,0.723920,0
2014-05-01,0.721050,0.735900,0.714740,0.733430,0.733430,0
2014-06-01,0.733430,0.740368,0.730087,0.732900,0.732900,0
2014-07-01,0.730360,0.748010,0.730030,0.746490,0.746490,0
2014-08-01,0.746830,0.761710,0.743716,0.761350,0.761350,0
2014-09-01,0.761750,0.795298,0.759821,0.787970,0.787970,0
2014-10-01,0.791820,0.800560,0.778550,0.792810,0.792810,0
2014-11-01,0.798260,0.808930,0.795170,0.803990,0.803990,0
2014-12-01,0.803990,0.826078,0.795817,0.822230,0.822230,0
2015-01-01,0.826540,0.900450,0.826540,0.885900,0.885900,0
2015-02-01,0.885900,0.894710,0.870762,0.893020,0.893020,0
2015-03-01,0.893020,0.956020,0.889648,0.923340,0.923340,0
2015-04-01,0.931010,0.950426,0.889079,0.899740,0.899740,0
2015-05-01,0.891660,0.924044,0.873130,0.912380,0.912380,0
2015-06-01,0.912490,0.918366,0.875013,0.891030,0.891030,0
2015-07-01,0.898070,0.924838,0.891266,0.914140,0.914140,0
2015-08-01,0.911660,0.921633,0.854263,0.891740,0.891740,0
2015-09-01,0.890790,0.901738,0.872600,0.888420,0.888420,0
2015-10-01,0.895130,0.916590,0.870004,0.908350,0.908350,0
2015-11-01,0.907030,0.946611,0.904159,0.944910,0.944910,0
2015-12-01,0.945810,0.948587,0.903342,0.914580,0.914580,0
2016-01-01,0.920890,0.933532,0.910581,0.923710,0.923710,0
2016-02-01,0.923680,0.923680,0.879662,0.915420,0.915420,0
2016-03-01,0.918530,0.923702,0.876424,0.882250,0.882250,0
2016-04-01,0.878810,0.891270,0.872296,0.873490,0.873490,0
2016-05-01,0.873490,0.900900,0.861030,0.896990,0.896990,0
2016-06-01,0.897990,0.915830,0.875500,0.898630,0.898630,0
2016-07-01,0.900600,0.912940,0.893176,0.895410,0.895410,0
2016-08-01,0.895430,0.905050,0.880500,0.896600,0.896600,0
2016-09-01,0.896200,0.898796,0.882613,0.891300,0.891300,0
2016-10-01,0.889410,0.921370,0.888889,0.910360,0.910360,0
2016-11-01,0.911300,0.950340,0.884800,0.939100,0.939100,0
2016-12-01,0.944100,0.965700,0.921100,0.950570,0.950570,0
2017-01-01,0.950570,0.966400,0.925040,0.933830,0.933830,0
2017-02-01,0.925700,0.952670,0.923650,0.944800,0.944800,0
2017-03-01,0.946140,0.952340,0.917020,0.935710,0.935710,0
2017-04-01,0.938390,0.946040,0.913180,0.916800,0.916800,0
2017-05-01,0.916920,0.922510,0.887570,0.895120,0.895120,0
2017-06-01,0.889820,0.899210,0.873744,0.874000,0.874000,0
2017-07-01,0.875220,0.883780,0.845690,0.851260,0.851260,0
2017-08-01,0.845770,0.857120,0.828710,0.840800,0.840800,0
2017-09-01,0.839570,0.853300,0.826900,0.851670,0.851670,0
2017-10-01,0.851670,0.863860,0.841700,0.858170,0.858170,0
2017-11-01,0.858250,0.865360,0.836090,0.843740,0.843740,0
2017-12-01,0.840400,0.853320,0.831750,0.833330,0.833330,0
2018-01-01,0.832990,0.839070,0.798090,0.805830,0.805830,0
2018-02-01,0.805320,0.820400,0.796300,0.817640,0.817640,0
2018-03-01,0.820280,0.822504,0.801400,0.810900,0.810900,0
2018-04-01,0.810900,0.829460,0.805477,0.824890,0.824890,0
2018-05-01,0.827600,0.868480,0.827500,0.857100,0.857100,0
2018-06-01,0.855190,0.868500,0.844480,0.854340,0.854340,0
2018-07-01,0.854340,0.863860,0.848120,0.854160,0.854160,0
2018-08-01,0.855460,0.884780,0.852297,0.857290,0.857290,0
2018-09-01,0.860360,0.867480,0.846380,0.860360,0.860360,0
2018-10-01,0.861700,0.884040,0.860490,0.881340,0.881340,0
2018-11-01,0.883870,0.891010,0.869570,0.877750,0.877750,0
2018-12-01,0.883470,0.887250,0.870710,0.874130,0.874130,0
2019-01-01,0.870000,0.884500,0.864200,0.870500,0.870500,0
2019-02-01,0.873300,0.890080,0.870440,0.878720,0.878720,0
2019-03-01,0.879310,0.893970,0.874130,0.890230,0.890230,0
2019-04-01,0.890990,0.899140,0.883000,0.894040,0.894040,0
