ds,y
2010-12-01,100.0
2011-01-01,104.19554138183594
2011-02-01,104.21952819824219
2011-03-01,104.0
2011-04-01,105.7
2011-05-01,105.8
2011-06-01,108.4
2011-07-01,108.6
2011-08-01,108.7
2011-09-01,108.7
2011-10-01,109.1
2011-11-01,108.8
2011-12-01,108.9
2012-01-01,109.1
2012-02-01,108.5
2012-03-01,108.4
2012-04-01,108.1
2012-05-01,106.2
2012-06-01,105.5
2012-07-01,104.7
2012-08-01,104.8
2012-09-01,105.3
2012-10-01,104.6
2012-11-01,103.7
2012-12-01,104.3
2013-01-01,104.4
2013-02-01,104.4
2013-03-01,103.4
2013-04-01,104.0
2013-05-01,103.4
2013-06-01,103.3
2013-07-01,103.4
2013-08-01,102.8
2013-09-01,102.9
2013-10-01,103.0
2013-11-01,102.9
2013-12-01,103.9
2014-01-01,103.9
2014-02-01,103.9
2014-03-01,105.4
2014-04-01,105.4
2014-05-01,105.4
2014-06-01,106.5
2014-07-01,106.6
2014-08-01,106.6
2014-09-01,108.7
2014-10-01,108.7
2014-11-01,108.7
2014-12-01,108.6
2015-01-01,109.0
2015-02-01,109.0
2015-03-01,108.8
2015-04-01,108.8
2015-05-01,108.6
2015-06-01,108.6
2015-07-01,108.7
2015-08-01,108.7
2015-09-01,108.6
2015-10-01,108.6
2015-11-01,108.4
2015-12-01,109.8
2016-01-01,109.3
2016-02-01,110.0
2016-03-01,109.9
2016-04-01,110.6
2016-05-01,112.8
2016-06-01,113.5
2016-07-01,113.5
2016-08-01,113.5
2016-09-01,113.2
2016-10-01,111.9
2016-11-01,110.4
2016-12-01,111.6
2017-01-01,113.4
2017-02-01,115.1
2017-03-01,115.2
2017-04-01,118.1
2017-05-01,117.2
2017-06-01,117.9
2017-07-01,117.7
2017-08-01,117.7
2017-09-01,118.3
2017-10-01,119.0
2017-11-01,117.3
2017-12-01,117.3
2018-01-01,119.5289535522461
2018-02-01,119.61418151855469
2018-03-01,120.0697250366211
2018-04-01,121.35269165039062
2018-05-01,121.19648742675781
2018-06-01,122.04850769042969
2018-07-01,122.56727600097656
2018-08-01,122.46883392333984
2018-09-01,123.44796752929688
2018-10-01,123.29815673828125
2018-11-01,122.31690216064453
2018-12-01,123.27975463867188
2019-01-01,123.79252624511719
2019-02-01,124.51168060302734
2019-03-01,124.97052764892578
2019-04-01,126.48255920410156
2019-05-01,126.3907470703125
2019-06-01,127.37135314941406
2019-07-01,127.71464538574219
2019-08-01,127.24375915527344
2019-09-01,128.10989379882812
2019-10-01,127.5643081665039
2019-11-01,127.2269287109375
2019-12-01,127.92623901367188
2020-01-01,128.9805450439453
2020-02-01,129.84019470214844
2020-03-01,130.07821655273438
2020-04-01,131.0739288330078
2020-05-01,131.17115783691406
2020-06-01,132.31114196777344
2020-07-01,132.25367736816406
2020-08-01,132.61337280273438
2020-09-01,132.61375427246094
2020-10-01,132.64202880859375
2020-11-01,132.30703735351562
2020-12-01,132.4767608642578
2021-01-01,133.77938842773438
2021-02-01,134.76307678222656
2021-03-01,135.2154083251953
2021-04-01,135.84759521484375
2021-05-01,136.50962829589844
2021-06-01,136.56527709960938
2021-07-01,137.04473876953125
2021-08-01,137.26414489746094
2021-09-01,137.80641174316406
2021-10-01,137.5460205078125
2021-11-01,137.45339965820312
2021-12-01,137.6537628173828
2022-01-01,139.11181640625
2022-02-01,139.0228271484375
2022-03-01,139.47836303710938
2022-04-01,140.7410430908203
2022-05-01,141.17323303222656
2022-06-01,141.74386596679688
2022-07-01,141.95562744140625
2022-08-01,142.3953857421875
2022-09-01,142.59243774414062
2022-10-01,142.88101196289062
2022-11-01,141.72555541992188
2022-12-01,142.42422485351562
2023-01-01,143.76927185058594
