ds,y
2003-11-01,1289.28
2003-12-01,1265.87
2004-01-01,1273.77
2004-02-01,1333.03
2004-03-01,1350.62
2004-04-01,1443.4
2004-05-01,1353.09
2004-06-01,1381.78
2004-07-01,1393.66
2004-08-01,1389.91
2004-09-01,1410.8
2004-10-01,1457.17
2004-11-01,1396.45
2004-12-01,1379.32
2005-01-01,1398.41
2005-02-01,1446.96
2005-03-01,1500.03
2005-04-01,1464.19
2005-05-01,1373.89
2005-06-01,1423.26
2005-07-01,1477.83
2005-08-01,1519.57
2005-09-01,1501.46
2005-10-01,1605.36
2005-11-01,1740.04
2005-12-01,1895.7
2006-01-01,1964.83
2006-02-01,2056.74
2006-03-01,2021.01
2006-04-01,2136.25
2006-05-01,2240.95
2006-06-01,1958.54
2006-07-01,1981.16
2006-08-01,1920.15
2006-09-01,1942.99
2006-10-01,2105.04
2006-11-01,2098.5
2006-12-01,2129.53
2007-01-01,2161.38
2007-02-01,2166.35
2007-03-01,2085.7
2007-04-01,2082.65
2007-05-01,2067.01
2007-06-01,1995.0
2007-07-01,1992.28
2007-08-01,1846.9
2007-09-01,1721.09
2007-10-01,1716.75
2007-11-01,1707.39
2007-12-01,1634.76
2008-01-01,1661.68
2008-02-01,1883.17
2008-03-01,1935.94
2008-04-01,1878.97
2008-05-01,1866.11
2008-06-01,1901.94
2008-07-01,1947.64
2008-08-01,1846.78
2008-09-01,1758.2
2008-10-01,1594.5
2008-11-01,1455.06
2008-12-01,1110.67
2009-01-01,1067.93
2009-02-01,1040.54
2009-03-01,1024.54
2009-04-01,1077.34
2009-05-01,1070.23
2009-06-01,1122.86
2009-07-01,1184.06
2009-08-01,1355.37
2009-09-01,1259.72
2009-10-01,1268.01
2009-11-01,1307.04
2009-12-01,1492.37
2010-01-01,1566.35
2010-02-01,1497.29
2010-03-01,1625.68
2010-04-01,1728.29
2010-05-01,1623.12
2010-06-01,1582.18
2010-07-01,1557.48
2010-08-01,1643.16
2010-09-01,1654.57
2010-10-01,1688.78
2010-11-01,1699.06
2010-12-01,1778.32
2011-01-01,1826.45
2011-02-01,1837.89
2011-03-01,1825.63
2011-04-01,1854.75
2011-05-01,1809.66
2011-06-01,1777.85
2011-07-01,1772.11
2011-08-01,1658.96
2011-09-01,1668.12
2011-10-01,1590.92
2011-11-01,1531.69
2011-12-01,1534.77
2012-01-01,1660.43
2012-02-01,1670.04
2012-03-01,1654.62
2012-04-01,1557.34
2012-05-01,1569.0
2012-06-01,1509.05
2012-07-01,1528.61
2012-08-01,1488.33
2012-09-01,1603.95
2012-10-01,1521.67
2012-11-01,1520.2
2012-12-01,1591.94
2013-01-01,1533.93
2013-02-01,1537.42
2013-03-01,1473.08
2013-04-01,1429.27
2013-05-01,1411.06
2013-06-01,1375.94
2013-07-01,1352.61
2013-08-01,1365.68
2013-09-01,1318.99
2013-10-01,1330.58
2013-11-01,1296.59
2013-12-01,1270.07
2014-01-01,1269.02
2014-02-01,1241.36
2014-03-01,1233.79
2014-04-01,1310.91
2014-05-01,1274.78
2014-06-01,1352.94
2014-07-01,1438.8
2014-08-01,1524.9
2014-09-01,1544.28
2014-10-01,1535.82
2014-11-01,1648.26
2014-12-01,1548.58
2015-01-01,1565.06
2015-02-01,1602.13
2015-03-01,1637.31
2015-04-01,1688.01
2015-05-01,1617.03
2015-06-01,1505.24
2015-07-01,1491.73
2015-08-01,1390.19
2015-09-01,1416.21
2015-10-01,1350.8
2015-11-01,1365.57
2015-12-01,1376.6
2016-01-01,1364.1
2016-02-01,1381.13
2016-03-01,1379.62
2016-04-01,1385.69
2016-05-01,1370.07
2016-06-01,1419.25
2016-07-01,1472.28
2016-08-01,1462.18
2016-09-01,1419.9
2016-10-01,1511.95
2016-11-01,1605.7
2016-12-01,1639.0
2017-01-01,1686.45
2017-02-01,1748.25
2017-03-01,1779.81
2017-04-01,1792.74
2017-05-01,1731.31
2017-06-01,1678.96
2017-07-01,1652.23
2017-08-01,1719.44
2017-09-01,1759.61
2017-10-01,1813.12
2017-11-01,1788.93
2017-12-01,1757.76
2018-01-01,1812.21
2018-02-01,1767.49
2018-03-01,1677.41
2018-04-01,1836.73
2018-05-01,1945.75
2018-06-01,1916.15
2018-07-01,1781.58
2018-08-01,1776.53
2018-09-01,1737.83
2018-10-01,1767.6
2018-11-01,1705.61
2018-12-01,1687.69
2019-01-01,1623.4
2019-02-01,1641.1
2019-03-01,1655.61
2019-04-01,1642.13
2019-05-01,1592.7
2019-06-01,1554.9
2019-07-01,1602.33
2019-08-01,1564.53
2019-09-01,1593.31
2019-10-01,1561.53
2019-11-01,1605.15
2019-12-01,1594.62
2020-01-01,1597.26
2020-02-01,1547.58
2020-03-01,1456.54
2020-04-01,1343.6
2020-05-01,1345.22
2020-06-01,1393.76
2020-07-01,1432.09
2020-08-01,1468.79
2020-09-01,1479.32
2020-10-01,1533.99
2020-11-01,1635.95
2020-12-01,1658.53
2021-01-01,1645.84
2021-02-01,1718.42
2021-03-01,1840.99
2021-04-01,1936.34
2021-05-01,2004.1
2021-06-01,2031.13
2021-07-01,2113.17
2021-08-01,2211.26
2021-09-01,2411.24
2021-10-01,2529.04
2021-11-01,2306.96
2021-12-01,2385.88
2022-01-01,2657.94
2022-02-01,2861.88
2022-03-01,3174.99
2022-04-01,2998.61
2022-05-01,2677.99
2022-06-01,2425.92
2022-07-01,2369.5
2022-08-01,2400.31
2022-09-01,2247.16
2022-10-01,2294.28
2022-11-01,2309.74
2022-12-01,2271.02
2023-01-01,2322.99
